Year,Service,Country,Original_Price,Currency,Exchange_Rate,Price_USD,US_Baseline_Price,DSPI,Monthly_Salary_USD,Affordability_Wage_Based_%,Real_Diff_USD,Real_Diff_USD_%,Conversion_Date,Date Collected
2024,NordVPN,Poland,328.45,PLN,0.25,3.0412037037037036,3.558148148148148,0.8547153118,1675.0,0.0018156440022111663,-0.5169444444444444,-0.1452846882,2025-12-28 19:17:56,2025-12-01
2024,ExpressVPN,Poland,120.2,USD,1.0,4.292857142857143,3.8000000000000003,1.129699248,1675.0,0.002562899786780384,0.49285714285714244,0.1296992481,2025-12-28 19:17:56,2025-12-01
2024,Netflix,Turkey,289.99,TRY,0.032,9.27968,17.99,0.5158243469,761.25,0.01219005583,-8.71032,-0.4841756531,2025-12-28 19:17:56,2025-12-01
2024,Youtube Premium,Turkey,75.99,TRY,0.032,2.43168,13.99,0.1738155826,761.25,0.003194325123,-11.55832,-0.8261844174,2025-12-28 19:17:56,2025-12-01
2024,Disney+,Turkey,449.9,TRY,0.032,14.3968,12.99,1.108298691,761.25,0.01891205255,1.4068,0.1082986913,2025-12-28 19:17:56,2025-12-01
2024,Amazon Prime,Turkey,69.9,TRY,0.032,2.2368,14.99,0.1492194797,761.25,0.002938325123,-12.7532,-0.8507805203,2025-12-28 19:17:56,2025-12-01
2024,Spotify,Turkey,99.0,TRY,0.032,3.168,11.99,0.2642201835,761.25,0.004161576355,-8.822,-0.7357798165,2025-12-28 19:17:56,2025-12-01
2024,Apple Music,Turkey,59.99,TRY,0.032,1.91968,10.99,0.1746751592,761.25,0.002521747126,-9.07032,-0.8253248408,2025-12-28 19:17:56,2025-12-01
2024,Microsoft 365,Turkey,3299.99,TRY,0.032,8.799973333333334,8.3325,1.05610241,761.25,0.011559899288451013,0.4674733333333343,0.05610241024,2025-12-28 19:17:56,2025-12-01
2024,Adobe Creative Cloud,Turkey,1627.2,TRY,0.032,52.0704,69.99,0.7439691384,761.25,0.06840118227,-17.9196,-0.2560308616,2025-12-28 19:17:56,2025-12-01
2024,Xbox Game Pass,Turkey,269.0,TRY,0.032,8.608,9.99,0.8616616617,761.25,0.01130771757,-1.382,-0.1383383383,2025-12-28 19:17:56,2025-12-01
2024,NordVPN,Turkey,96.88,USD,1.0,3.588148148148148,3.558148148148148,1.008431352,761.25,0.0047134951042997015,0.029999999999999805,0.008431352139,2025-12-28 19:17:56,2025-12-01
2024,ExpressVPN,Turkey,117.26,USD,1.0,4.187857142857143,3.8000000000000003,1.102067669,761.25,0.00550129017124091,0.3878571428571429,0.1020676692,2025-12-28 19:17:56,2025-12-01
2024,Netflix,Argentina,14999.0,ARS,0.0012,17.9988,17.99,1.000489161,548.18,0.03283374074,0.0088,0.0004891606448,2025-12-28 19:17:56,2025-12-01
2024,Youtube Premium,Argentina,8600.0,ARS,0.0012,10.32,13.99,0.7376697641,548.18,0.01882593309,-3.67,-0.2623302359,2025-12-28 19:17:56,2025-12-01
2024,Disney+,Argentina,12299.0,ARS,0.0012,14.7588,12.99,1.136166282,548.18,0.02692327338,1.7688,0.1361662818,2025-12-28 19:17:56,2025-12-01
2024,Amazon Prime,Argentina,7954.0,ARS,0.0012,9.5448,14.99,0.6367444963,548.18,0.01741179904,-5.4452,-0.3632555037,2025-12-28 19:17:56,2025-12-01
2024,Spotify,Argentina,3299.0,ARS,0.0012,3.9588,11.99,0.330175146,548.18,0.007221715495,-8.0312,-0.669824854,2025-12-28 19:17:56,2025-12-01
