Year,Service,Category,Count,Percentage
2017,ExpressVPN,User Workaround,0,0.00%
2017,ExpressVPN,General Terms,0,0.00%
2017,NordVPN,Technical Blocking,0,0.00%
2017,NordVPN,Price Discrimination,0,0.00%
2017,NordVPN,Content Licensing,0,0.00%
2017,NordVPN,Regulatory Compliance,0,0.00%
2017,NordVPN,Legal Threat,0,0.00%
2017,NordVPN,Account Action,0,0.00%
2017,NordVPN,Privacy/Security,0,0.00%
2017,NordVPN,Security Risk,0,0.00%
2017,NordVPN,Legitimate Portability,0,0.00%
2017,NordVPN,User Workaround,0,0.00%
2017,NordVPN,General Terms,0,0.00%
2018,Microsoft,Technical Blocking,0,0.00%
2018,Microsoft,Price Discrimination,0,0.00%
2018,Microsoft,Content Licensing,0,0.00%
2018,Microsoft,Regulatory Compliance,0,0.00%
2018,Microsoft,Legal Threat,0,0.00%
2018,Microsoft,Account Action,0,0.00%
2018,Microsoft,Privacy/Security,0,0.00%
2018,Microsoft,Security Risk,0,0.00%
2018,Microsoft,Legitimate Portability,0,0.00%
2018,Microsoft,User Workaround,0,0.00%
2018,Microsoft,General Terms,0,0.00%
2018,Youtube Premium,Technical Blocking,4,3.42%
2018,Youtube Premium,Price Discrimination,0,0.00%
2018,Youtube Premium,Content Licensing,5,4.27%
2018,Youtube Premium,Regulatory Compliance,5,4.27%
2018,Youtube Premium,Legal Threat,3,2.56%
2018,Youtube Premium,Account Action,0,0.00%
2018,Youtube Premium,Privacy/Security,0,0.00%
2018,Youtube Premium,Security Risk,0,0.00%
2018,Youtube Premium,Legitimate Portability,0,0.00%
2018,Youtube Premium,User Workaround,0,0.00%
2018,Youtube Premium,General Terms,100,85.47%
2018,Spotify,Technical Blocking,0,0.00%
2018,Spotify,Price Discrimination,0,0.00%
2018,Spotify,Content Licensing,0,0.00%
2018,Spotify,Regulatory Compliance,0,0.00%
2018,Spotify,Legal Threat,0,0.00%
2018,Spotify,Account Action,0,0.00%
2018,Spotify,Privacy/Security,0,0.00%
2018,Spotify,Security Risk,0,0.00%
2018,Spotify,Legitimate Portability,0,0.00%
2018,Spotify,User Workaround,0,0.00%
2018,Spotify,General Terms,0,0.00%
2018,Adobe,Technical Blocking,0,0.00%
2018,Adobe,Price Discrimination,1,4.76%
2018,Adobe,Content Licensing,1,4.76%
2018,Adobe,Regulatory Compliance,1,4.76%
2018,Adobe,Legal Threat,0,0.00%
2018,Adobe,Account Action,0,0.00%
2018,Adobe,Privacy/Security,0,0.00%
2018,Adobe,Security Risk,0,0.00%
2018,Adobe,Legitimate Portability,0,0.00%
2018,Adobe,User Workaround,0,0.00%
2018,Adobe,General Terms,18,85.71%
2018,Netflix,Technical Blocking,0,0.00%
2018,Netflix,Price Discrimination,0,0.00%
2018,Netflix,Content Licensing,0,0.00%
2018,Netflix,Regulatory Compliance,0,0.00%
2018,Netflix,Legal Threat,0,0.00%
2018,Netflix,Account Action,0,0.00%
2018,Netflix,Privacy/Security,0,0.00%
2018,Netflix,Security Risk,0,0.00%
2018,Netflix,Legitimate Portability,0,0.00%
2018,Netflix,User Workaround,0,0.00%
2018,Netflix,General Terms,0,0.00%
2018,Disney+,Technical Blocking,0,0.00%
2018,Disney+,Price Discrimination,0,0.00%
2018,Disney+,Content Licensing,0,0.00%
2018,Disney+,Regulatory Compliance,0,0.00%
2018,Disney+,Legal Threat,0,0.00%
2018,Disney+,Account Action,0,0.00%
2018,Disney+,Privacy/Security,0,0.00%
2018,Disney+,Security Risk,0,0.00%
2018,Disney+,Legitimate Portability,0,0.00%
2018,Disney+,User Workaround,0,0.00%
2018,Disney+,General Terms,0,0.00%
2018,Amazon Prime,Technical Blocking,0,0.00%
2018,Amazon Prime,Price Discrimination,0,0.00%
2018,Amazon Prime,Content Licensing,0,0.00%
2018,Amazon Prime,Regulatory Compliance,1,5.56%
2018,Amazon Prime,Legal Threat,0,0.00%
2018,Amazon Prime,Account Action,0,0.00%
2018,Amazon Prime,Privacy/Security,0,0.00%
2018,Amazon Prime,Security Risk,0,0.00%
2018,Amazon Prime,Legitimate Portability,0,0.00%
2018,Amazon Prime,User Workaround,0,0.00%
2018,Amazon Prime,General Terms,17,94.44%
2018,Apple Music,Technical Blocking,0,0.00%
2018,Apple Music,Price Discrimination,0,0.00%
2018,Apple Music,Content Licensing,0,0.00%
2018,Apple Music,Regulatory Compliance,0,0.00%
2018,Apple Music,Legal Threat,0,0.00%
2018,Apple Music,Account Action,0,0.00%
2018,Apple Music,Privacy/Security,0,0.00%
2018,Apple Music,Security Risk,0,0.00%
2018,Apple Music,Legitimate Portability,0,0.00%
2018,Apple Music,User Workaround,0,0.00%
2018,Apple Music,General Terms,0,0.00%
2018,ExpressVPN,Technical Blocking,0,0.00%
2018,ExpressVPN,Price Discrimination,0,0.00%
2018,ExpressVPN,Content Licensing,0,0.00%
2018,ExpressVPN,Regulatory Compliance,0,0.00%
2018,ExpressVPN,Legal Threat,0,0.00%
2018,ExpressVPN,Account Action,0,0.00%
2018,ExpressVPN,Privacy/Security,0,0.00%
2018,ExpressVPN,Security Risk,0,0.00%
2018,ExpressVPN,Legitimate Portability,0,0.00%
2018,ExpressVPN,User Workaround,0,0.00%
2018,ExpressVPN,General Terms,0,0.00%
2018,NordVPN,Technical Blocking,0,0.00%
2018,NordVPN,Price Discrimination,0,0.00%
2018,NordVPN,Content Licensing,0,0.00%
2018,NordVPN,Regulatory Compliance,0,0.00%
